"","January","February","March","April","May","June","July","August","September","October","November","December"
"1980",208.9,217.64,215.18,208.05,191.12,166.1,167.14,161.07,172.92,189.95,194.96,194.82
"1981",211.4,211.85,213.99,196.84,173.36,170.14,166.21,170.37,167.41,178.07,191.38,198.98
"1982",204.84,210.06,217.73,208.38,193.22,173.53,167.08,175.95,175.95,177.89,186.96,196.42
"1983",202.33,209.36,206,193.57,175.94,173.61,176.73,171.42,165.31,179.53,188.61,195.23
"1984",204.16,209.07,211.53,190.6,175.89,178.73,176.35,181.96,171.62,187.23,186.61,198.21
"1985",211.08,211.59,216.76,205.76,193.02,180.16,176.88,170.36,174.33,188.37,190.05,209.84
"1986",216.07,216.22,214.05,205.35,186.29,172.91,177.8,168.2,181.01,194.57,195.49,201.81
"1987",207.98,212.09,210.43,200.19,186.62,181.17,182.78,187.16,185.96,190.33,193.86,198.21
"1988",205.44,215.12,216.71,207.99,186.14,169.99,177.48,173.56,175.01,187.12,194.6,207.17
"1989",210.7,229.04,233.72,210.64,180.65,176.24,193.5,186.55,184.54,195.74,202.01,213.47
"1990",211.45,213.47,220.36,197.24,175.18,174.81,179.66,178.85,189.05,188.05,198.5,212.67
"1991",223.66,231.76,226.72,219.01,205.97,182.22,182.21,181.2,188.05,193.82,203.37,207.03
"1992",212.41,216.33,221.43,206.12,190.26,178.07,175.02,171.14,177.49,188.89,204.9,208.65
"1993",217.59,231.33,231.48,220.87,194.66,175.64,182.82,187.35,182.69,194.23,201.79,210.69
"1994",219.05,220.43,225.89,213.39,210.09,175.68,171.89,188.55,178.4,192.77,201.46,218.35
"1995",223.82,225.52,225.49,229.93,209.63,179.6,179.81,175.23,194.07,196.33,205.78,218.13
"1996",225.54,231.52,236.84,224.96,195.34,182.83,189.11,189.23,184.38,198.43,204.05,211.36
"1997",222.73,232.05,228.16,218.4,192.21,178.01,186.66,185.28,186.66,191.03,206.57,212.07
"1998",222.05,230.71,227.8,218.57,205.07,185.59,179.66,174.69,190.68,201.41,210.72,219.97
"1999",226.98,242.67,247.43,228.06,200.43,184.55,187,178.76,196.75,207.02,214.51,221.32
"2000",228.09,233.92,232.71,212.92,193.3,183.52,185.65,177.56,186.86,202.6,212.58,219.37
"2001",231.71,230.17,233.62,215.53,195.34,195.21,181.33,187.97,191.38,202.31,208.65,220.8
"2002",236.42,236.67,236.75,223.72,207.32,186.75,187.65,188.26,187.51,206.42,224.83,224.66
"2003",226.35,230.86,226.62,219.66,190.7,189.76,192.87,188.49,187.88,209.77,213.16,226.6
"2004",232.57,239.26,232.71,226.08,200.28,189.72,204.8,192.25,184.75,205.22,217.29,223.11
"2005",231.38,233.78,236.05,219.96,189.16,187.56,200.79,187.84,192.55,203.87,218.53,226.1
"2006",229.24,237.91,240.84,228.42,216.28,190.93,197.97,189.43,202.04,214.92,223.4,232.52
"2007",241.68,245.26,247.36,241.14,211.04,199.32,188.3,194.84,192.57,199.48,219.39,228.29
"2008",231.21,239.45,242.93,223.8,226.9,196.76,180.95,184.47,203.48,199.83,213.97,224.57
"2009",237.68,240.7,246.55,230.95,201.03,192.19,205.76,195.61,199.11,215.43,225.98,232.02
"2010",240.3,246.28,243.07,231.11,210.98,186.55,189.51,192.4,196.9,221.01,228.02,235.81
"2011",241.17,244.2,250.39,231.06,213.21,195.26,202.34,198.2,212.37,216.02,225.61,233.86
"2012",240.22,253.07,246.27,224.35,217,192.37,193.83,189.67,215.62,224.92,233.42,241.13
"2013",245.03,248.35,245.81,229.39,214.27,206.93,203.29,204.53,213.24,222.65,231.07,238.99
