"","January","February","March","April","May","June","July","August","September","October","November","December"
"1980",328.38,343.44,330.73,333.53,333.81,312.37,310.87,305.32,307.09,322.72,331.11,322.33
"1981",334.71,336.11,336.67,320.48,314.95,306.26,305.5,314.88,313.22,313.59,326.14,329.15
"1982",327.75,326.51,325.37,316.16,319.02,319.28,325.21,317.02,315.29,308.97,311.54,332.07
"1983",324.66,330.67,327.18,320.04,315.94,322.2,324.74,321.87,303.76,310.44,328.46,325.93
"1984",323.3,331.1,335.35,321.5,324.76,315.38,324.92,331.62,313.43,317.14,318.39,323.27
"1985",336.17,335.08,334.84,322.35,315.9,325.34,337.28,328.8,311.05,316.49,313.5,342.25
"1986",345.35,347.32,330.91,317.33,309.25,324.57,328.01,315.76,302.84,311.7,319.59,332.02
"1987",331.83,340.27,333.85,327.25,323.31,328.17,328.62,322.71,318.77,321.66,329.51,332.39
"1988",335.21,341.25,345.14,337.39,332.01,319.48,319.15,326.11,322.57,321.97,323.09,334.6
"1989",330.83,332.81,328.52,326.7,328.21,329.57,333.24,333.95,333.13,324.83,318.17,335.42
"1990",333.28,324.72,338.02,338.52,315.98,317.19,324.74,328.15,321.81,321.19,322.94,337.21
"1991",347.81,349.49,344.11,344.3,352.76,345.38,337.49,341.99,346.48,335.78,348,338.96
"1992",352.58,344.06,343.39,336.53,329.2,329.38,328.52,328.57,304.41,312.35,333.73,339.48
"1993",339.33,351.5,351.21,350.59,343.41,322.18,329.67,332.63,330.23,329.71,324.27,333.24
"1994",348.2,344.23,343.69,343.87,347.88,345.68,335.93,340.49,326.25,339.77,335.22,349.83
"1995",371.72,365.55,345.26,358.08,360.75,358.15,341.79,344.95,345.99,346.12,344.92,354.15
"1996",353.22,353.35,354.13,354.39,342.05,325.72,341.45,343.54,338.07,336.67,344.29,354.71
"1997",361.31,370.16,352.4,346.33,345.81,331.71,342.89,342.32,328.37,317.2,337.43,342.2
"1998",357.71,366.12,358.34,351.43,342.24,333.32,331.01,331.44,339.4,343.31,352.64,352.98
"1999",359.01,358.71,362.09,357.7,354.6,354.22,355.34,353.55,351.24,351.59,350.12,359.79
"2000",365.27,368.82,365.02,357.78,351.45,326.93,339.39,337.77,328.77,349.83,360.91,364.06
"2001",370.79,367.88,360.5,353.55,345.75,348.4,342.77,344.42,340.3,345.86,347.48,350.51
"2002",369.64,367.88,361.4,343.61,334.71,346.58,357.02,348.73,340.88,347.16,369.76,364.95
"2003",356.74,364.1,351.29,342.42,326.87,333.61,350.59,353.61,335.21,356.57,344.16,349.76
"2004",357.72,371.73,360.45,361.67,357.35,353.76,362.21,361.61,335.2,335.17,356.73,365.58
"2005",370.69,369.24,367.33,358.94,354.74,347.05,356.07,349.89,340.82,341.73,351.08,370.97
"2006",375.38,369.4,361.39,356.35,344.07,334.32,349.88,353.12,363.27,367.03,349.02,365.67
"2007",363.16,384.32,362.86,380.92,371.17,371.84,359.14,367.09,350.96,348.34,369.4,388.63
"2008",377.06,371.4,379.8,361.61,372.76,353.12,357.2,358.14,366.46,353.71,358.24,368.18
"2009",368.58,372.69,362.75,371.06,348.1,340.65,357.3,360.18,356.47,365.65,360.12,367.18
"2010",380.19,381.58,371.98,371.77,358.72,356.66,366.96,369.74,349.84,359.81,370.75,373.9
"2011",385.91,383.66,381.46,366.84,368.84,351.03,352.66,358.66,378.97,371.56,367.81,385.9
"2012",375.7,399.86,381.8,374.61,364.78,372.73,365.06,373.45,367.43,373.85,366.41,366.87
"2013",389.65,388.63,378.07,359.75,361.23,357.69,362.35,369.14,365.57,383.29,382.82,368.87
