year,code,value,system,description
1951,AKCLIM_EBS_ebs.win.sst,-1.446198498,EBS,Eastern Bering winter SST
1952,AKCLIM_EBS_ebs.win.sst,-1.110112844,EBS,Eastern Bering winter SST
1953,AKCLIM_EBS_ebs.win.sst,-0.973945413,EBS,Eastern Bering winter SST
1954,AKCLIM_EBS_ebs.win.sst,-1.317336973,EBS,Eastern Bering winter SST
1955,AKCLIM_EBS_ebs.win.sst,-0.965570446,EBS,Eastern Bering winter SST
1956,AKCLIM_EBS_ebs.win.sst,-1.649807947,EBS,Eastern Bering winter SST
1957,AKCLIM_EBS_ebs.win.sst,-1.786447329,EBS,Eastern Bering winter SST
1958,AKCLIM_EBS_ebs.win.sst,0.485323667,EBS,Eastern Bering winter SST
1959,AKCLIM_EBS_ebs.win.sst,-0.371068949,EBS,Eastern Bering winter SST
1960,AKCLIM_EBS_ebs.win.sst,-0.638915001,EBS,Eastern Bering winter SST
1961,AKCLIM_EBS_ebs.win.sst,-0.920435547,EBS,Eastern Bering winter SST
1962,AKCLIM_EBS_ebs.win.sst,-0.655692571,EBS,Eastern Bering winter SST
1963,AKCLIM_EBS_ebs.win.sst,-0.586983642,EBS,Eastern Bering winter SST
1964,AKCLIM_EBS_ebs.win.sst,-0.470819415,EBS,Eastern Bering winter SST
1965,AKCLIM_EBS_ebs.win.sst,-0.700787453,EBS,Eastern Bering winter SST
1966,AKCLIM_EBS_ebs.win.sst,-0.262366581,EBS,Eastern Bering winter SST
1967,AKCLIM_EBS_ebs.win.sst,-0.462433932,EBS,Eastern Bering winter SST
1968,AKCLIM_EBS_ebs.win.sst,-0.420150233,EBS,Eastern Bering winter SST
1969,AKCLIM_EBS_ebs.win.sst,-0.371487295,EBS,Eastern Bering winter SST
1970,AKCLIM_EBS_ebs.win.sst,-0.169224617,EBS,Eastern Bering winter SST
1971,AKCLIM_EBS_ebs.win.sst,-0.573356622,EBS,Eastern Bering winter SST
1972,AKCLIM_EBS_ebs.win.sst,-1.06304158,EBS,Eastern Bering winter SST
1973,AKCLIM_EBS_ebs.win.sst,-0.526706312,EBS,Eastern Bering winter SST
1974,AKCLIM_EBS_ebs.win.sst,-0.400020168,EBS,Eastern Bering winter SST
1975,AKCLIM_EBS_ebs.win.sst,-0.351806829,EBS,Eastern Bering winter SST
1976,AKCLIM_EBS_ebs.win.sst,-0.878353537,EBS,Eastern Bering winter SST
1977,AKCLIM_EBS_ebs.win.sst,0.233437441,EBS,Eastern Bering winter SST
1978,AKCLIM_EBS_ebs.win.sst,0.216127391,EBS,Eastern Bering winter SST
1979,AKCLIM_EBS_ebs.win.sst,0.849350632,EBS,Eastern Bering winter SST
1980,AKCLIM_EBS_ebs.win.sst,0.446375859,EBS,Eastern Bering winter SST
1981,AKCLIM_EBS_ebs.win.sst,-0.047892604,EBS,Eastern Bering winter SST
1982,AKCLIM_EBS_ebs.win.sst,0.464287772,EBS,Eastern Bering winter SST
1983,AKCLIM_EBS_ebs.win.sst,-0.205401062,EBS,Eastern Bering winter SST
1984,AKCLIM_EBS_ebs.win.sst,0.760297249,EBS,Eastern Bering winter SST
1985,AKCLIM_EBS_ebs.win.sst,1.089633983,EBS,Eastern Bering winter SST
1986,AKCLIM_EBS_ebs.win.sst,0.372626216,EBS,Eastern Bering winter SST
1987,AKCLIM_EBS_ebs.win.sst,1.14561051,EBS,Eastern Bering winter SST
1988,AKCLIM_EBS_ebs.win.sst,0.77379188,EBS,Eastern Bering winter SST
