DFB Year,Region,Region Desc,Number of Fish,Species Code,Species Name,Management Area
1985,1,Southeastern Region,64123,410,"salmon, chinook",A
1985,1,Southeastern Region,57273,410,"salmon, chinook",B
1985,1,Southeastern Region,35457,410,"salmon, chinook",C
1985,1,Southeastern Region,98770,410,"salmon, chinook",D
1985,1,Southeastern Region,669776,420,"salmon, sockeye",A
1985,1,Southeastern Region,845106,420,"salmon, sockeye",B
1985,1,Southeastern Region,305466,420,"salmon, sockeye",C
1985,1,Southeastern Region,32417,420,"salmon, sockeye",D
1985,1,Southeastern Region,855866,430,"salmon, coho",A
1985,1,Southeastern Region,827450,430,"salmon, coho",B
1985,1,Southeastern Region,193374,430,"salmon, coho",C
1985,1,Southeastern Region,717443,430,"salmon, coho",D
1985,1,Southeastern Region,8068192,440,"salmon, pink",A
1985,1,Southeastern Region,27547684,440,"salmon, pink",B
1985,1,Southeastern Region,8723321,440,"salmon, pink",C
1985,1,Southeastern Region,7094502,440,"salmon, pink",D
1985,1,Southeastern Region,1121229,450,"salmon, chum",A
1985,1,Southeastern Region,1262381,450,"salmon, chum",B
1985,1,Southeastern Region,275541,450,"salmon, chum",C
1985,1,Southeastern Region,614527,450,"salmon, chum",D
1985,2,Central Region,43529,410,"salmon, chinook",E
1985,2,Central Region,25097,410,"salmon, chinook",H
1985,2,Central Region,120412,410,"salmon, chinook",T
1985,2,Central Region,1450171,420,"salmon, sockeye",E
1985,2,Central Region,4338826,420,"salmon, sockeye",H
1985,2,Central Region,23695300,420,"salmon, sockeye",T
1985,2,Central Region,1024553,430,"salmon, coho",E
1985,2,Central Region,676706,430,"salmon, coho",H
1985,2,Central Region,162822,430,"salmon, coho",T
1985,2,Central Region,25129419,440,"salmon, pink",E
1985,2,Central Region,1317545,440,"salmon, pink",H
1985,2,Central Region,457,440,"salmon, pink",T
1985,2,Central Region,1297472,450,"salmon, chum",E
1985,2,Central Region,803487,450,"salmon, chum",H
1985,2,Central Region,1068141,450,"salmon, chum",T
1985,3,A-Y-K Region,74030,410,"salmon, chinook",W
1985,3,A-Y-K Region,63,410,"salmon, chinook",X
1985,3,A-Y-K Region,143969,410,"salmon, chinook",Y
1985,3,A-Y-K Region,19491,410,"salmon, chinook",Z
1985,3,A-Y-K Region,121218,420,"salmon, sockeye",W
1985,3,A-Y-K Region,166,420,"salmon, sockeye",Z
1985,3,A-Y-K Region,382041,430,"salmon, coho",W
1985,3,A-Y-K Region,46198,430,"salmon, coho",Y
1985,3,A-Y-K Region,21927,430,"salmon, coho",Z
1985,3,A-Y-K Region,111,440,"salmon, pink",W
1985,3,A-Y-K Region,3647,440,"salmon, pink",Z
1985,3,A-Y-K Region,224753,450,"salmon, chum",W
1985,3,A-Y-K Region,521373,450,"salmon, chum",X
1985,3,A-Y-K Region,643354,450,"salmon, chum",Y
1985,3,A-Y-K Region,134878,450,"salmon, chum",Z
1985,4,Westward Region,4970,410,"salmon, chinook",K
1985,4,Westward Region,1877,410,"salmon, chinook",L
1985,4,Westward Region,30210,410,"salmon, chinook",M
1985,4,Westward Region,1842731,420,"salmon, sockeye",K
1985,4,Westward Region,916627,420,"salmon, sockeye",L
1985,4,Westward Region,4743247,420,"salmon, sockeye",M
1985,4,Westward Region,284166,430,"salmon, coho",K
1985,4,Westward Region,191162,430,"salmon, coho",L
1985,4,Westward Region,348632,430,"salmon, coho",M
1985,4,Westward Region,7334825,440,"salmon, pink",K
1985,4,Westward Region,160128,440,"salmon, pink",L
1985,4,Westward Region,4434160,440,"salmon, pink",M
1985,4,Westward Region,430757,450,"salmon, chum",K
1985,4,Westward Region,22805,450,"salmon, chum",L
1985,4,Westward Region,2029532,450,"salmon, chum",M
1986,1,Southeastern Region,61714,410,"salmon, chinook",A
1986,1,Southeastern Region,53490,410,"salmon, chinook",B
1986,1,Southeastern Region,26844,410,"salmon, chinook",C
1986,1,Southeastern Region,122057,410,"salmon, chinook",D
1986,1,Southeastern Region,521960,420,"salmon, sockeye",A
1986,1,Southeastern Region,746072,420,"salmon, sockeye",B
1986,1,Southeastern Region,157143,420,"salmon, sockeye",C
1986,1,Southeastern Region,14647,420,"salmon, sockeye",D
1986,1,Southeastern Region,533769,430,"salmon, coho",A
1986,1,Southeastern Region,1260510,430,"salmon, coho",B
1986,1,Southeastern Region,308598,430,"salmon, coho",C
1986,1,Southeastern Region,1299766,430,"salmon, coho",D
1986,1,Southeastern Region,353927,440,"salmon, pink",A
1986,1,Southeastern Region,43198415,440,"salmon, pink",B
1986,1,Southeastern Region,1834791,440,"salmon, pink",C
1986,1,Southeastern Region,326026,440,"salmon, pink",D
1986,1,Southeastern Region,542592,450,"salmon, chum",A
1986,1,Southeastern Region,1698337,450,"salmon, chum",B
1986,1,Southeastern Region,317020,450,"salmon, chum",C
1986,1,Southeastern Region,799123,450,"salmon, chum",D
1986,2,Central Region,42128,410,"salmon, chinook",E
1986,2,Central Region,40052,410,"salmon, chinook",H
1986,2,Central Region,93716,410,"salmon, chinook",T
1986,2,Central Region,1288213,420,"salmon, sockeye",E
1986,2,Central Region,5026933,420,"salmon, sockeye",H
1986,2,Central Region,15776065,420,"salmon, sockeye",T
1986,2,Central Region,423591,430,"salmon, coho",E
1986,2,Central Region,775438,430,"salmon, coho",H
1986,2,Central Region,182075,430,"salmon, coho",T
1986,2,Central Region,10516575,440,"salmon, pink",E
1986,2,Central Region,2709251,440,"salmon, pink",H
1986,2,Central Region,401287,440,"salmon, pink",T
1986,2,Central Region,1684743,450,"salmon, chum",E
1986,2,Central Region,1217505,450,"salmon, chum",H
1986,2,Central Region,1227135,450,"salmon, chum",T
1986,3,A-Y-K Region,44971,410,"salmon, chinook",W
1986,3,A-Y-K Region,101,410,"salmon, chinook",X
1986,3,A-Y-K Region,96789,410,"salmon, chinook",Y
1986,3,A-Y-K Region,6395,410,"salmon, chinook",Z
1986,3,A-Y-K Region,141952,420,"salmon, sockeye",W
